iter	RMSE
0	16.12239041
1	14.47359081
2	13.24474424
3	12.05828969
4	10.96486065
5	9.997806379
6	9.363055398
7	8.738074344
8	8.123707036
9	7.712541181
10	7.363861012
11	7.140347351
12	6.826502006
13	6.635820349
14	6.383988642
15	6.117629049
16	5.878225212
17	5.715261067
18	5.535494018
19	5.443535484
20	5.35793769
21	5.256527345
22	5.147776778
23	5.036577615
24	4.971667029
25	4.921217998
26	4.845158656
27	4.762395698
28	4.693128553
29	4.639628213
30	4.599112895
31	4.56137159
32	4.535604151
33	4.513213056
34	4.48947162
35	4.42387861
36	4.280905048
37	4.261352119
38	4.240971626
39	4.20637123
40	4.093162716
41	4.001057046
42	3.958010545
43	3.937237259
44	3.918346442
45	3.885787893
46	3.866454594
47	3.781288975
48	3.720610009
49	3.711169624
