iter	Passed	Remaining
0	144	7060
1	144	3478
2	145	2280
3	146	1679
4	146	1319
5	147	1079
6	147	907
7	148	777
8	148	676
9	149	596
10	149	530
11	149	474
12	150	428
13	150	388
14	152	356
15	153	326
16	154	299
17	154	275
18	155	253
19	155	233
20	156	215
21	156	199
22	157	184
23	158	171
24	158	158
25	159	147
26	159	136
27	160	126
28	161	116
29	161	107
30	162	99
31	163	91
32	163	84
33	164	77
34	165	70
35	165	64
36	166	58
37	166	52
38	167	47
39	168	42
40	168	37
41	169	32
42	169	27
43	170	23
44	170	18
45	171	14
46	171	10
47	171	7
48	172	3
49	172	0
