R,G,B,R.I,Thickness,Wavelength,Reflectance
15,21,55,1.965,74.2,1200,97.2375
15,21,55,1.965,74.2,1195,97.1881
15,21,55,1.965,74.2,1190,97.0759
15,21,55,1.965,74.2,1185,96.8496
15,21,55,1.965,74.2,1180,96.4741
15,21,55,1.965,74.2,1175,95.9199
15,21,55,1.965,74.2,1170,95.1903
15,21,55,1.965,74.2,1165,94.2958
15,21,55,1.965,74.2,1160,93.2626
15,21,55,1.965,74.2,1155,92.0902
15,21,55,1.965,74.2,1150,90.7726
15,21,55,1.965,74.2,1145,89.3009
15,21,55,1.965,74.2,1140,87.6673
15,21,55,1.965,74.2,1135,85.8702
15,21,55,1.965,74.2,1130,83.89
15,21,55,1.965,74.2,1125,81.7393
15,21,55,1.965,74.2,1120,79.4147
15,21,55,1.965,74.2,1115,76.9281
15,21,55,1.965,74.2,1110,74.2595
15,21,55,1.965,74.2,1105,71.4036
15,21,55,1.965,74.2,1100,68.3502
15,21,55,1.965,74.2,1095,65.0985
15,21,55,1.965,74.2,1090,61.6653
15,21,55,1.965,74.2,1085,58.0693
15,21,55,1.965,74.2,1080,54.3142
15,21,55,1.965,74.2,1075,50.3822
15,21,55,1.965,74.2,1070,46.2501
15,21,55,1.965,74.2,1065,41.9363
15,21,55,1.965,74.2,1060,37.5502
15,21,55,1.965,74.2,1055,33.2768
15,21,55,1.965,74.2,1050,29.3315
15,21,55,1.965,74.2,1045,25.892
15,21,55,1.965,74.2,1040,23.0288
15,21,55,1.965,74.2,1035,20.7452
15,21,55,1.965,74.2,1030,18.9836
15,21,55,1.965,74.2,1025,17.6687
15,21,55,1.965,74.2,1020,16.7109
15,21,55,1.965,74.2,1015,16.0282
15,21,55,1.965,74.2,1010,15.5429
15,21,55,1.965,74.2,1005,15.1949
15,21,55,1.965,74.2,1000,14.9327
15,21,55,1.965,74.2,995,14.7252
15,21,55,1.965,74.2,990,14.5491
15,21,55,1.965,74.2,985,14.3896
15,21,55,1.965,74.2,980,14.2453
15,21,55,1.965,74.2,975,14.102
15,21,55,1.965,74.2,970,13.9587
15,21,55,1.965,74.2,965,13.8124
15,21,55,1.965,74.2,960,13.6675
15,21,55,1.965,74.2,955,13.5199
15,21,55,1.965,74.2,950,13.3689
15,21,55,1.965,74.2,945,13.2174
15,21,55,1.965,74.2,940,13.061
15,21,55,1.965,74.2,935,12.907
15,21,55,1.965,74.2,930,12.7501
15,21,55,1.965,74.2,925,12.5929
15,21,55,1.965,74.2,920,12.432
15,21,55,1.965,74.2,915,12.2664
15,21,55,1.965,74.2,910,12.0968
15,21,55,1.965,74.2,905,11.9259
15,21,55,1.965,74.2,900,11.755
15,21,55,1.965,74.2,895,11.5824
15,21,55,1.965,74.2,890,11.4094
15,21,55,1.965,74.2,885,11.225
15,21,55,1.965,74.2,880,11.0414
15,21,55,1.965,74.2,875,10.8512
15,21,55,1.965,74.2,870,10.6564
15,21,55,1.965,74.2,865,10.4707
15,21,55,1.965,74.2,860,10.2757
15,21,55,1.965,74.2,855,10.081
15,21,55,1.965,74.2,850,10.4852
15,21,55,1.965,74.2,845,10.3131
15,21,55,1.965,74.2,840,10.1561
15,21,55,1.965,74.2,835,9.98504
15,21,55,1.965,74.2,830,9.79273
15,21,55,1.965,74.2,825,9.59066
15,21,55,1.965,74.2,820,9.37549
15,21,55,1.965,74.2,815,9.14103
15,21,55,1.965,74.2,810,8.90211
15,21,55,1.965,74.2,805,8.6611
15,21,55,1.965,74.2,800,8.41963
15,21,55,1.965,74.2,795,8.17931
15,21,55,1.965,74.2,790,7.93081
