iter	Passed	Remaining
0	0	312
1	1	279
2	1	258
3	1	245
4	2	248
5	3	254
6	3	253
7	4	258
8	4	257
9	5	255
10	5	249
11	6	247
12	6	245
13	6	242
14	7	241
15	7	239
16	8	238
17	8	237
18	9	235
19	9	233
20	10	233
21	10	232
22	11	231
23	11	229
24	11	227
25	12	227
26	12	227
27	13	226
28	13	226
29	14	226
30	14	226
31	15	227
32	16	230
33	16	231
34	17	230
35	17	229
36	18	229
37	18	228
38	19	227
39	19	226
40	20	225
41	20	224
42	21	224
43	21	223
44	22	223
45	22	222
46	23	221
47	23	221
48	23	220
49	24	219
50	24	219
51	25	218
52	25	218
53	26	218
54	26	218
55	27	218
56	28	217
57	28	218
58	29	219
59	29	219
60	30	218
61	30	218
62	31	217
63	31	216
64	32	216
65	32	215
66	33	214
67	33	213
68	34	212
69	34	211
70	34	210
71	35	210
72	35	209
73	36	208
74	36	208
75	37	208
76	37	207
77	38	206
78	38	206
79	39	206
80	39	205
81	40	205
82	40	205
83	41	205
84	42	206
85	42	206
86	43	206
87	43	205
88	44	204
89	44	204
90	45	203
91	45	203
92	46	202
93	46	201
94	47	201
95	47	200
96	48	200
97	48	199
98	49	199
99	49	199
100	50	198
101	50	198
102	51	197
103	51	197
104	52	197
105	52	196
106	53	196
107	54	196
108	54	196
109	55	196
110	55	195
111	56	195
112	56	194
113	57	193
114	57	193
115	58	192
116	58	191
117	59	191
118	59	190
119	59	189
120	60	189
121	60	188
122	61	187
123	61	187
124	62	186
125	62	186
126	63	185
127	63	185
128	64	185
129	64	184
130	65	184
131	65	183
132	66	183
133	66	182
134	67	182
135	68	182
136	68	181
137	69	181
138	69	180
139	69	179
140	70	179
141	70	178
142	71	177
143	71	177
144	72	176
145	72	175
146	73	175
147	73	174
148	74	174
149	74	173
150	74	173
151	75	172
152	75	172
153	76	172
154	77	171
155	77	171
156	78	170
157	78	170
158	79	169
159	79	168
160	80	168
161	80	168
162	81	168
163	81	167
164	82	166
165	82	166
166	83	165
167	83	165
168	83	164
169	84	163
170	84	163
171	85	162
172	85	162
173	86	161
174	86	160
175	87	160
176	87	159
177	88	159
178	88	159
179	89	158
180	89	158
181	90	157
182	90	157
183	91	157
184	92	156
185	92	156
186	93	156
187	93	155
188	94	155
189	95	155
190	95	154
191	96	154
192	96	153
193	97	153
194	97	152
195	98	152
196	98	151
197	99	151
198	99	150
199	100	150
200	101	150
201	101	150
202	102	149
203	102	149
204	103	148
205	104	148
206	104	148
207	105	148
208	106	147
209	106	147
210	107	147
211	107	146
212	108	146
213	108	145
214	109	145
215	109	144
216	110	143
217	110	143
218	111	143
219	112	142
220	112	142
221	113	141
222	113	141
223	114	140
224	114	140
225	115	139
226	115	139
227	116	138
228	116	138
229	117	137
230	118	137
231	119	137
232	119	137
233	120	136
234	120	135
235	120	135
236	121	134
237	121	134
238	122	133
239	123	133
240	123	132
241	124	132
242	124	131
243	125	131
244	125	130
245	126	130
246	126	129
247	127	129
248	127	128
249	128	128
250	128	127
251	129	127
252	129	126
253	130	126
254	131	126
255	131	125
256	132	125
257	133	124
258	133	124
259	133	123
260	134	123
261	135	122
262	135	122
263	136	121
264	136	121
265	137	121
266	138	120
267	138	120
268	139	119
269	139	118
270	140	118
271	140	117
272	141	117
273	141	116
274	142	116
275	142	115
276	143	115
277	144	115
278	144	114
279	145	114
280	146	114
281	147	113
282	147	113
283	148	112
284	148	112
285	149	111
286	149	111
287	150	110
288	151	110
289	151	109
290	152	109
291	152	108
292	153	108
293	153	107
294	154	107
295	154	106
296	155	106
297	156	105
298	156	105
299	157	104
300	158	104
301	159	104
302	159	103
303	159	103
304	160	102
305	161	102
306	161	101
307	162	101
308	162	100
309	163	100
310	163	99
311	164	99
312	164	98
313	165	98
314	166	97
315	166	97
316	167	96
317	168	96
318	168	95
319	169	95
320	170	94
321	170	94
322	171	93
323	171	93
324	172	92
325	172	92
326	173	91
327	174	91
328	174	90
329	175	90
330	175	89
331	176	89
332	176	88
333	177	88
334	177	87
335	178	87
336	178	86
337	179	85
338	179	85
339	180	84
340	181	84
341	181	83
342	182	83
343	182	82
344	183	82
345	183	81
346	184	81
347	184	80
348	185	80
349	185	79
350	186	79
351	186	78
352	187	78
353	187	77
354	188	76
355	189	76
356	189	76
357	190	75
358	191	75
359	191	74
360	192	74
361	193	73
362	194	73
363	194	72
364	195	72
365	195	71
366	196	71
367	196	70
368	197	69
369	197	69
370	198	68
371	198	68
372	199	67
373	199	67
374	200	66
375	200	66
376	201	65
377	201	65
378	202	64
379	202	64
380	203	63
381	204	63
382	204	62
383	205	62
384	206	61
385	206	61
386	207	60
387	207	60
388	208	59
389	209	58
390	209	58
391	210	57
392	210	57
393	211	56
394	212	56
395	212	55
396	213	55
397	214	54
398	214	54
399	215	53
400	215	53
401	216	52
402	217	52
403	217	51
404	217	51
405	218	50
406	219	50
407	219	49
408	220	49
409	220	48
410	221	47
411	221	47
412	222	46
413	222	46
414	223	45
415	223	45
416	224	44
417	224	44
418	225	43
419	226	43
420	226	42
421	227	42
422	227	41
423	228	40
424	228	40
425	229	39
426	229	39
427	230	38
428	231	38
429	231	37
430	232	37
431	233	36
432	233	36
433	234	35
434	234	35
435	235	34
436	235	33
437	236	33
438	236	32
439	237	32
440	237	31
441	238	31
442	238	30
443	239	30
444	240	29
445	240	29
446	241	28
447	241	28
448	242	27
449	242	26
450	243	26
451	244	25
452	244	25
453	245	24
454	245	24
455	246	23
456	246	23
457	247	22
458	247	22
459	248	21
460	248	21
461	249	20
462	249	19
463	250	19
464	250	18
465	251	18
466	252	17
467	252	17
468	253	16
469	253	16
470	254	15
471	254	15
472	255	14
473	255	14
474	256	13
475	257	12
476	257	12
477	258	11
478	259	11
479	259	10
480	259	10
481	260	9
482	260	9
483	261	8
484	261	8
485	262	7
486	262	7
487	263	6
488	264	5
489	264	5
490	265	4
491	265	4
492	266	3
493	266	3
494	267	2
495	267	2
496	268	1
497	268	1
498	269	0
499	270	0
