iter	RMSE
0	16.6596674
1	16.06364692
2	15.36855155
3	14.56990119
4	13.7635769
5	12.84917481
6	12.10372975
7	11.93057739
8	11.61133899
9	11.2597409
10	10.90045395
11	10.5529795
12	9.933887027
13	9.499186449
14	8.983280857
15	8.760393878
16	8.546355642
17	8.18146945
18	7.922673579
19	7.857508952
20	7.726521974
21	7.655476429
22	7.52185759
23	7.300744306
24	7.259204199
25	7.027544594
26	6.912097399
27	6.768953063
28	6.641557777
29	6.481769231
30	6.379732101
31	6.247381321
32	6.150078724
33	6.015773952
34	5.880330358
35	5.861527446
36	5.751029433
37	5.704648427
38	5.650088043
39	5.512080675
40	5.454674421
41	5.36986718
42	5.333686974
43	5.286808454
44	5.19458563
45	5.154394632
46	5.113599598
47	5.070198436
48	4.987248604
49	4.921823681
50	4.832355992
51	4.780287603
52	4.735530517
53	4.657923826
54	4.629313905
55	4.591794259
56	4.489505887
57	4.438172094
58	4.399205
59	4.346569441
60	4.269202534
61	4.220151692
62	4.194509116
63	4.103900052
64	4.058020081
65	4.026154839
66	3.994418316
67	3.928516746
68	3.9025959
69	3.860058853
70	3.80027012
71	3.732320571
72	3.69918357
73	3.672913527
74	3.613918371
75	3.562615812
76	3.530159129
77	3.507805669
78	3.477910929
79	3.407839289
80	3.374010257
81	3.352335507
82	3.311409895
83	3.274878801
84	3.243335062
85	3.22201159
86	3.186495832
87	3.1441783
88	3.097312678
89	3.052193354
90	3.031864726
91	3.019936962
92	3.01533888
93	2.996673012
94	2.951233687
95	2.913087391
96	2.88138024
97	2.867229119
98	2.827003328
99	2.819132436
100	2.815418481
101	2.778875153
102	2.771591726
103	2.768057218
104	2.742907575
105	2.707330356
106	2.674862147
107	2.671291325
108	2.661460883
109	2.646641797
110	2.60810322
111	2.582707863
112	2.568454279
113	2.540836165
114	2.527330086
115	2.524624229
116	2.502314913
117	2.493252382
118	2.466589073
119	2.458876387
120	2.442379509
121	2.414533197
122	2.388177902
123	2.372751449
124	2.362582596
125	2.350922436
126	2.348484925
127	2.341624221
128	2.32798713
129	2.297675355
130	2.28791127
131	2.26486609
132	2.233615841
133	2.210945582
134	2.189745831
135	2.171384838
136	2.151587242
137	2.138298599
138	2.123258861
139	2.113627723
140	2.098004339
141	2.076005673
142	2.072765487
143	2.059425697
144	2.048795234
145	2.023608652
146	2.011116468
147	1.982060394
148	1.961907962
149	1.951268174
150	1.942416805
151	1.922852963
152	1.913404144
153	1.902628339
154	1.8925001
155	1.873841874
156	1.864511193
157	1.839866476
158	1.821473543
159	1.819043795
160	1.814155005
161	1.797151165
162	1.787403853
163	1.771101038
164	1.754457306
165	1.741080054
166	1.725811119
167	1.704203823
168	1.693463499
169	1.690720406
170	1.675437924
171	1.669289791
172	1.666700474
173	1.655687566
174	1.642427842
175	1.636721566
176	1.634120762
177	1.624527238
178	1.62218081
179	1.618913968
180	1.610543907
181	1.597651657
182	1.588566892
183	1.571925742
184	1.568623492
185	1.547667168
186	1.545518024
187	1.542649818
188	1.524354779
189	1.512585226
190	1.510738107
191	1.508596512
192	1.500898058
193	1.492953046
194	1.487668942
195	1.481107404
196	1.469970796
197	1.458770878
198	1.45406204
199	1.447921843
200	1.436364263
201	1.434267654
202	1.432415782
203	1.425620112
204	1.414470477
205	1.402129559
206	1.39485782
207	1.376599009
208	1.371957504
209	1.359885893
210	1.344635054
211	1.329840012
212	1.322455581
213	1.308998748
214	1.304565074
215	1.295421239
216	1.283609267
217	1.280797784
218	1.278192077
219	1.272794014
220	1.25983995
221	1.25373528
222	1.251324697
223	1.249089885
224	1.238603148
225	1.226363463
226	1.216922172
227	1.205766865
228	1.195124243
229	1.19152716
230	1.183416974
231	1.172568266
232	1.170236525
233	1.15913515
234	1.157179267
235	1.148989754
236	1.140137835
237	1.130626053
238	1.12870588
239	1.119320457
240	1.114545895
241	1.106843818
242	1.105154912
243	1.098813475
244	1.086787398
245	1.078782985
246	1.071170535
247	1.069453902
248	1.0673653
249	1.065463563
250	1.061378845
251	1.052294152
252	1.050558108
253	1.049029636
254	1.04043569
255	1.038960966
256	1.037595707
257	1.02923928
258	1.027352126
259	1.021533262
260	1.015786916
261	1.006922098
262	0.9993003644
263	0.9926845752
264	0.9887255684
265	0.9805022596
266	0.9708762078
267	0.9634806527
268	0.9584284512
269	0.956968634
270	0.9508696017
271	0.9482017562
272	0.9436835074
273	0.9422948012
274	0.9370464722
275	0.9292398271
276	0.9211016756
277	0.9199960016
278	0.9140120059
279	0.9067943347
280	0.898182983
281	0.8924012499
282	0.8863962941
283	0.8825073821
284	0.8778760991
285	0.8763150461
286	0.8688640096
287	0.8620256403
288	0.8585199482
289	0.8520286687
290	0.8473260716
291	0.8441633282
292	0.8422302388
293	0.8373228825
294	0.8324922459
295	0.8275546096
296	0.8238238207
297	0.8222315066
298	0.8208032041
299	0.8102951914
300	0.8059515188
301	0.8007852424
302	0.7995869745
303	0.7931395625
304	0.7918969688
305	0.7867013119
306	0.7805313755
307	0.7768835315
308	0.775641267
309	0.7691577881
310	0.76552932
311	0.7552015512
312	0.7483376212
313	0.7425867301
314	0.7407686182
315	0.73827124
316	0.7313588866
317	0.7226716671
318	0.7165850718
319	0.7062928618
320	0.7015399069
321	0.6999527786
322	0.6987169991
323	0.6945393219
324	0.6892695241
325	0.687017585
326	0.6819729235
327	0.6786100211
328	0.674523977
329	0.6691635276
330	0.6681554764
331	0.6670295011
332	0.6633790183
333	0.662265573
334	0.6568681594
335	0.654312679
336	0.6445918471
337	0.6396399162
338	0.637782832
339	0.6346213396
340	0.6276886668
341	0.6266551165
342	0.6226369175
343	0.6191807668
344	0.6126774596
345	0.606476248
346	0.5989739843
347	0.5975143139
348	0.5950555128
349	0.5940671025
350	0.5913965098
351	0.5869324466
352	0.5836614405
353	0.5770676481
354	0.5746276064
355	0.5647552133
356	0.5595018624
357	0.5547316855
358	0.5493289321
359	0.5467101251
360	0.5457635748
361	0.5434357756
362	0.5413390061
363	0.540479895
364	0.5325877819
365	0.5269674563
366	0.5218059193
367	0.5151587886
368	0.511127047
369	0.5075929048
370	0.502519373
371	0.4992265023
372	0.4940580307
373	0.4931880014
374	0.4887867157
375	0.4858291739
376	0.4850666015
377	0.4813119143
378	0.4770729945
379	0.4752889354
380	0.4736618183
381	0.4701140776
382	0.4660789573
383	0.4630187813
384	0.4599979042
385	0.4563031777
386	0.4535500511
387	0.4503112761
388	0.4489559908
389	0.4464446253
390	0.443038847
391	0.4414200767
392	0.4379352018
393	0.4352254485
394	0.4319312735
395	0.4295460331
396	0.4282275651
397	0.4269414808
398	0.4255444229
399	0.4201186667
400	0.416830257
401	0.4125838732
402	0.4087520498
403	0.406363686
404	0.4035803055
405	0.4023249982
406	0.399829579
407	0.3968698872
408	0.3936251202
409	0.3903697709
410	0.3876092955
411	0.3860917587
412	0.3846340086
413	0.3811021291
414	0.3782299032
415	0.3775897665
416	0.3749305543
417	0.3735469904
418	0.3725336097
419	0.3703526452
420	0.3676954993
421	0.3638306197
422	0.3612086773
423	0.3599784929
424	0.3576899799
425	0.3552778227
426	0.3525194018
427	0.3517618915
428	0.3492289621
429	0.3451492417
430	0.3441119699
431	0.3418571328
432	0.3366759373
433	0.3356458324
434	0.3343480517
435	0.333220766
436	0.3315361182
437	0.3292692534
438	0.326250969
439	0.3252047307
440	0.3226440543
441	0.3216924924
442	0.3193693651
443	0.3164104804
444	0.3138402801
445	0.3118960277
446	0.3076479928
447	0.3059158234
448	0.3038393428
449	0.3018471043
450	0.2994944263
451	0.2957712539
452	0.2944669337
453	0.2930170557
454	0.2904326546
455	0.288378109
456	0.2870272556
457	0.2855888374
458	0.2844972792
459	0.2822439993
460	0.2812351437
461	0.2795873836
462	0.2777017047
463	0.2748789102
464	0.2725070419
465	0.2710543651
466	0.2700642333
467	0.2686251893
468	0.2660755577
469	0.2652466711
470	0.2645034328
471	0.2614631639
472	0.2602054603
473	0.2589138625
474	0.2570783775
475	0.2546940577
476	0.2520895092
477	0.250317268
478	0.2484209679
479	0.2468888398
480	0.2447855072
481	0.2440558342
482	0.2418128451
483	0.2386590507
484	0.2380043013
485	0.2348444709
486	0.2341907793
487	0.2335248413
488	0.2329285733
489	0.2308383883
490	0.2299535454
491	0.2291859859
492	0.2267705428
493	0.2262113496
494	0.2236053278
495	0.2230532061
496	0.2219809461
497	0.2204893889
498	0.2199734644
499	0.2194998778
