iter	Passed	Remaining
0	0	326
1	1	267
2	1	239
3	1	229
4	2	216
5	2	206
6	2	204
7	3	208
8	3	217
9	4	228
10	5	235
11	5	239
12	6	238
13	6	239
14	7	245
15	8	244
16	8	253
17	9	252
18	9	247
19	10	243
20	10	240
21	11	239
22	11	237
23	11	235
24	12	236
25	12	234
26	13	232
27	13	230
28	14	230
29	14	229
30	15	228
31	15	227
32	15	225
33	16	223
34	16	221
35	17	220
36	17	218
37	17	218
38	18	216
39	18	214
40	19	213
41	19	213
42	19	211
43	20	209
44	20	208
45	21	207
46	22	213
47	22	215
48	23	215
49	23	213
50	24	212
51	24	211
52	24	209
53	25	209
54	25	207
55	25	205
56	26	205
57	26	203
58	27	202
59	27	201
60	27	200
61	28	200
62	28	200
63	29	199
64	29	198
65	30	197
66	30	196
67	30	195
68	31	194
69	31	193
70	31	191
71	32	191
72	32	190
73	32	188
74	33	187
75	33	186
76	33	186
77	34	188
78	35	188
79	35	188
80	36	187
81	36	187
82	37	187
83	37	186
84	38	186
85	38	186
86	39	186
87	39	185
88	39	184
89	40	183
90	40	181
91	40	180
92	41	179
93	41	178
94	41	177
95	42	176
96	42	175
97	42	175
98	43	174
99	43	173
100	43	172
101	43	171
102	44	170
103	44	169
104	44	168
105	45	167
106	45	167
107	45	166
108	46	165
109	46	165
110	47	164
111	47	164
112	47	163
113	48	163
114	48	162
115	49	162
116	49	162
117	50	162
118	50	161
119	50	161
120	51	160
121	51	159
122	51	158
123	52	157
124	52	157
125	52	156
126	53	155
127	53	155
128	53	154
129	53	153
130	54	152
131	54	151
132	54	151
133	55	150
134	55	149
135	55	149
136	56	148
137	56	147
138	56	147
139	57	146
140	57	146
141	57	145
142	58	144
143	58	144
144	58	143
145	58	143
146	59	142
147	59	142
148	60	142
149	60	141
150	61	141
151	61	140
152	61	140
153	62	139
154	62	139
155	62	138
156	63	138
157	63	137
158	63	137
159	64	136
160	64	136
161	64	135
162	65	134
163	65	134
164	65	133
165	66	133
166	66	132
167	66	132
168	67	131
169	67	131
170	67	130
171	68	129
172	68	129
173	68	128
174	68	128
175	69	127
176	69	127
177	70	126
178	70	126
179	70	125
180	71	125
181	71	124
182	71	124
183	72	124
184	73	124
185	73	124
186	74	123
187	74	123
188	74	123
189	75	122
190	75	122
191	75	121
192	76	121
193	76	120
194	76	120
195	77	119
196	77	119
197	77	118
198	78	117
199	78	117
200	78	116
201	78	116
202	79	115
203	79	115
204	79	114
205	80	114
206	80	113
207	80	113
208	80	112
209	81	112
210	81	111
211	81	111
212	82	110
213	82	110
214	82	109
215	83	109
216	83	108
217	83	108
218	84	107
219	84	107
220	84	106
221	85	107
222	85	106
223	86	106
224	86	105
225	86	105
226	87	104
227	87	104
228	87	103
229	88	103
230	88	102
231	88	102
232	89	102
233	89	101
234	89	101
235	89	100
236	90	100
237	90	99
238	90	99
239	91	98
240	91	98
241	91	97
242	92	97
243	92	97
244	92	96
245	93	96
246	93	95
247	93	95
248	94	94
249	94	94
250	94	93
251	95	93
252	95	93
253	95	92
254	95	92
255	96	91
256	97	91
257	97	91
258	98	91
259	98	91
260	99	90
261	99	90
262	99	89
263	100	89
264	100	89
265	100	88
266	101	88
267	101	87
268	101	87
269	102	86
270	102	86
271	102	86
272	102	85
273	103	85
274	103	84
275	103	84
276	104	83
277	104	83
278	104	83
279	105	82
280	105	82
281	105	81
282	106	81
283	106	80
284	106	80
285	107	80
286	107	79
287	107	79
288	107	78
289	108	78
290	109	78
291	109	77
292	109	77
293	110	77
294	111	77
295	111	76
296	111	76
297	112	76
298	112	75
299	113	75
300	113	75
301	114	74
302	114	74
303	114	73
304	115	73
305	115	73
306	115	72
307	115	72
308	116	71
309	116	71
310	116	71
311	117	70
312	117	70
313	117	69
314	118	69
315	118	69
316	118	68
317	119	68
318	119	67
319	119	67
320	120	67
321	120	66
322	120	66
323	121	65
324	121	65
325	122	65
326	122	64
327	123	64
328	123	64
329	124	63
330	124	63
331	125	63
332	125	62
333	125	62
334	126	62
335	126	61
336	126	61
337	127	60
338	127	60
339	127	60
340	128	59
341	128	59
342	128	58
343	129	58
344	129	58
345	129	57
346	129	57
347	130	56
348	130	56
349	130	56
350	131	55
351	131	55
352	132	55
353	132	54
354	132	54
355	133	53
356	133	53
357	133	53
358	134	52
359	134	52
360	135	52
361	136	51
362	136	51
363	136	51
364	137	50
365	137	50
366	137	49
367	138	49
368	138	49
369	138	48
370	139	48
371	139	47
372	139	47
373	139	47
374	140	46
375	140	46
376	140	45
377	141	45
378	141	45
379	141	44
380	141	44
381	142	43
382	142	43
383	142	43
384	143	42
385	143	42
386	143	41
387	144	41
388	144	41
389	144	40
390	145	40
391	145	40
392	145	39
393	146	39
394	146	38
395	146	38
396	147	38
397	147	37
398	148	37
399	148	37
400	149	36
401	149	36
402	150	36
403	150	35
404	150	35
405	151	35
406	151	34
407	151	34
408	152	33
409	152	33
410	153	33
411	153	32
412	153	32
413	154	31
414	154	31
415	154	31
416	155	30
417	155	30
418	156	30
419	156	29
420	156	29
421	157	29
422	157	28
423	157	28
424	158	27
425	158	27
426	158	27
427	159	26
428	159	26
429	159	25
430	160	25
431	160	25
432	161	24
433	161	24
434	162	24
435	162	23
436	163	23
437	163	23
438	163	22
439	164	22
440	164	22
441	165	21
442	165	21
443	165	20
444	166	20
445	166	20
446	166	19
447	167	19
448	168	19
449	169	18
450	169	18
451	170	18
452	170	17
453	171	17
454	171	16
455	172	16
456	172	16
457	173	15
458	174	15
459	174	15
460	175	14
461	175	14
462	176	14
463	176	13
464	177	13
465	177	12
466	178	12
467	178	12
468	179	11
469	179	11
470	180	11
471	180	10
472	181	10
473	181	9
474	181	9
475	182	9
476	182	8
477	183	8
478	183	8
479	184	7
480	184	7
481	185	6
482	185	6
483	186	6
484	186	5
485	187	5
486	187	5
487	188	4
488	188	4
489	188	3
490	189	3
491	189	3
492	189	2
493	190	2
494	190	1
495	191	1
496	191	1
497	192	0
498	192	0
499	192	0
