Methods,RMSE,best_mode,,,
Standard,5.400063005,MLPRegressor,,,
Standard_w_B,4.861629527,KNeighborsRegressor,,,
Histogram Equalization,8.298186746,MLPRegressor,,,
Histogram Equalization_w_B,8.625015697,MLPRegressor,,,
Z-score Normalization,6.549519272,AdaBoostRegressor,,,
Z-score Normalization_w_B,12.65315766,CatBoostRegressor,,,
Min-Max Normalization,6.097865098,AdaBoostRegressor,,,
Min-Max Normalization_w_B,7.862907686,CatBoostRegressor,,,
avg_calibration,5.328061,AdaBoostRegressor,,,
dividing_calibration,6.173251,AdaBoostRegressor,,,
