Top_R,Top_G,Top_B,Thickness
139.7177,139.7177,139.7177,48.26666667
139.4151,139.4151,139.4151,47.96666667
140.1874,140.1874,140.1874,48.16666667
170.0779,170.0779,170.0779,48.6
159.9243,159.9243,159.9243,59.53333333
166.4613,166.4613,166.4613,59.76666667
154.7552,154.7552,154.7552,59.8
149.658,149.658,149.658,60.1
151.998,151.998,151.998,68.26666667
149.4568,149.4568,149.4568,68.83333333
146.4172,146.4172,146.4172,68.2
145.8779,145.8779,145.8779,69.7
144.4472,144.4472,144.4472,79.1
136.4484,136.4484,136.4484,80.03333333
145.9576,145.9576,145.9576,79.0
145.2012,145.2012,145.2012,81.46666667
160.0305,160.0305,160.0305,92.4
146.404,146.404,146.404,92.83333333
143.5086,143.5086,143.5086,93.53333333
163.8063,163.8063,163.8063,93.5
173.3688,173.3688,173.3688,81.5
150.2074,150.2074,150.2074,81.83333333
156.5684,156.5684,156.5684,81.73333333
154.914,154.914,154.914,80.66666667
158.566,158.566,158.566,74.76666667
154.6162,154.6162,154.6162,75.03333333
151.5676,151.5676,151.5676,75.53333333
153.3885,153.3885,153.3885,75.63333333
145.9564,145.9564,145.9564,61.36666667
147.3651,147.3651,147.3651,61.53333333
146.0289,146.0289,146.0289,61.8
147.7588,147.7588,147.7588,61.86666667
139.9828,139.9828,139.9828,63.5
135.6946,135.6946,135.6946,64.9
157.4951,157.4951,157.4951,63.5
148.1725,148.1725,148.1725,77.03333333
145.302,145.302,145.302,78.53333333
147.8103,147.8103,147.8103,77.2
148.2423,148.2423,148.2423,77.13333333
139.8756,139.8756,139.8756,87.6
153.5095,153.5095,153.5095,87.76666667
149.3345,149.3345,149.3345,87.06666667
152.5569,152.5569,152.5569,88.56666667
150.7963,150.7963,150.7963,101.8333333
158.3454,158.3454,158.3454,101.4666667
167.688,167.688,167.688,101.4333333
158.3001,158.3001,158.3001,102.2666667
153.6826,153.6826,153.6826,73.23333333
147.3421,147.3421,147.3421,73.86666667
144.5321,144.5321,144.5321,73.13333333
139.9612,139.9612,139.9612,73.76666667
149.0176,149.0176,149.0176,84.5
148.2634,148.2634,148.2634,82.73333333
160.9051,160.9051,160.9051,84.53333333
154.0512,154.0512,154.0512,83.06666667
150.4192,150.4192,150.4192,96.63333333
154.9268,154.9268,154.9268,95.93333333
157.722,157.722,157.722,97.46666667
132.4602,132.4602,132.4602,97.93333333
154.2109,154.2109,154.2109,111.9
148.5717,148.5717,148.5717,109.4333333
144.8495,144.8495,144.8495,109.3
148.5132,148.5132,148.5132,111.5333333
148.2057,148.2057,148.2057,77.8
151.9179,151.9179,151.9179,80.3
141.7328,141.7328,141.7328,75.9
143.1449,143.1449,143.1449,77.73333333
142.017,142.017,142.017,100.0666667
143.3012,143.3012,143.3012,93.93333333
160.5067,160.5067,160.5067,96.16666667
152.9312,152.9312,152.9312,95.9
142.1958,142.1958,142.1958,124.4333333
144.9468,144.9468,144.9468,117.7
153.2342,153.2342,153.2342,115.4666667
148.1695,148.1695,148.1695,120.0666667
148.8023,148.8023,148.8023,153.3
148.0058,148.0058,148.0058,161.1
152.2845,152.2845,152.2845,141.1
139.3466,139.3466,139.3466,150.0666667
142.9571,142.9571,142.9571,69.53333333
144.3907,144.3907,144.3907,69.43333333
140.3863,140.3863,140.3863,68.7
137.8646,137.8646,137.8646,69.86666667
142.9015,142.9015,142.9015,82.16666667
137.1923,137.1923,137.1923,83.43333333
136.898,136.898,136.898,82.16666667
137.1026,137.1026,137.1026,84.33333333
143.3974,143.3974,143.3974,96.26666667
143.0499,143.0499,143.0499,96.1
148.1985,148.1985,148.1985,96.56666667
145.5775,145.5775,145.5775,96.8
137.239,137.239,137.239,110.5
137.5073,137.5073,137.5073,111.3333333
137.8185,137.8185,137.8185,109.7333333
146.6779,146.6779,146.6779,111.4
138.5427,138.5427,138.5427,62.36666667
136.7602,136.7602,136.7602,63.16666667
136.5943,136.5943,136.5943,63.16666667
137.2415,137.2415,137.2415,63.6
137.4229,137.4229,137.4229,75.2
137.6507,137.6507,137.6507,74.2
137.9091,137.9091,137.9091,74.2
137.0217,137.0217,137.0217,74.8
136.903,136.903,136.903,86.46666667
143.9922,143.9922,143.9922,87.7
144.9059,144.9059,144.9059,86.8
154.6838,154.6838,154.6838,87.36666667
155.4736,155.4736,155.4736,98.33333333
139.3249,139.3249,139.3249,99.36666667
149.19,149.19,149.19,98.7
147.5154,147.5154,147.5154,100.6
150.3429,150.3429,150.3429,61.3
146.6461,146.6461,146.6461,61.73333333
138.4522,138.4522,138.4522,61.06666667
143.3678,143.3678,143.3678,61.46666667
139.6884,139.6884,139.6884,73.3
144.6791,144.6791,144.6791,74.06666667
140.8246,140.8246,140.8246,72.8
138.4572,138.4572,138.4572,73.4
137.2547,137.2547,137.2547,84.5
137.4263,137.4263,137.4263,84.73333333
137.8851,137.8851,137.8851,84.03333333
150.4526,150.4526,150.4526,84.63333333
134.487,134.487,134.487,98.36666667
139.3283,139.3283,139.3283,97.03333333
144.8793,144.8793,144.8793,96.26666667
167.1601,167.1601,167.1601,97.76666667
