Top_R,Top_G,Top_B,Bot_R,Bot_G,Bot_B,Thickness
140.5183,139.724,137.0516,130.1523,138.1153,149.4018,48.26666667
139.2869,139.6661,138.1536,130.164,139.3454,146.6704,47.96666667
139.9864,140.2005,137.4057,132.8199,138.3944,142.8911,48.16666667
140.2039,140.1815,137.542,131.3105,139.1805,145.048,48.6
146.7461,144.1289,143.1082,131.9079,139.2374,143.4036,59.53333333
146.0096,144.9677,141.5376,131.2976,138.3272,140.5775,59.76666667
147.9702,140.9957,138.9161,133.3688,136.9408,140.4305,59.8
145.3085,147.9324,144.4289,127.5276,140.1687,145.2551,60.1
145.2764,144.6292,145.0033,130.7509,138.9495,142.57,68.26666667
144.6014,144.4629,146.7174,127.4389,138.9651,142.1299,68.83333333
140.1722,140.1492,141.1286,130.1879,138.7098,143.9114,68.2
136.3575,136.2655,138.464,131.438,139.1261,142.151,69.7
157.5588,157.9372,164.4747,131.9375,138.8853,144.8963,79.1
139.2578,138.7637,149.2472,130.2896,138.3606,145.5978,80.03333333
134.2632,134.8134,145.5854,130.3275,137.7867,148.5049,79.0
155.3185,157.8246,162.262,129.7121,139.9559,142.5147,81.46666667
139.696,149.1294,164.5558,132.266,138.246,140.8011,92.4
137.8403,144.3022,167.7343,131.5715,137.8726,147.0268,92.83333333
139.2207,148.5963,165.6243,133.0682,138.4659,143.043,93.53333333
139.5922,148.4736,168.1947,130.6454,137.7369,144.8485,93.5
150.1435,152.9838,164.5789,131.9416,138.4387,142.7269,81.5
146.5611,148.531,161.1235,131.8223,138.8037,144.9301,81.83333333
150.6255,151.8412,162.4662,130.6777,138.2429,146.1969,81.73333333
147.363,149.7564,164.8024,131.6427,138.536,142.0576,80.66666667
156.9576,158.1743,163.4874,129.8883,139.7498,146.9768,74.76666667
166.6038,166.9191,173.8938,130.392,138.2084,148.3179,75.03333333
157.7308,157.2341,164.6528,130.3476,138.9129,145.5486,75.53333333
155.2273,151.1082,162.0289,133.448,137.4032,145.2085,75.63333333
152.7127,145.1161,144.2183,133.6215,137.7388,141.0165,61.36666667
145.3207,144.4741,142.2903,131.8861,138.6455,140.5669,61.53333333
151.9105,147.8214,147.3762,132.1493,137.8253,142.9265,61.8
150.9429,147.0787,146.9242,129.8184,138.5252,144.7,61.86666667
162.4746,159.3055,164.4221,127.8756,139.3701,149.6781,63.5
157.2829,152.315,153.8086,130.9136,137.4506,145.7277,64.9
152.1069,149.2351,151.4191,130.1926,139.054,148.0075,63.5
151.1688,155.388,162.6706,126.1971,140.2215,144.5426,77.03333333
153.92,156.9529,170.9197,130.5285,138.139,142.9376,78.53333333
131.4377,131.1708,143.4784,128.9887,138.0428,150.1975,77.2
150.1876,153.9722,165.0454,130.8717,138.6486,142.6039,77.13333333
142.6441,148.5148,162.8271,133.9744,137.4527,140.203,87.6
140.8847,149.1474,164.4128,132.4603,138.3453,141.7251,87.76666667
141.4095,147.7324,166.7395,132.2944,137.5608,146.9304,87.06666667
144.0758,152.8671,166.9166,130.3542,139.0013,145.3677,88.56666667
126.94,144.4741,164.1289,130.6581,139.073,145.8718,101.8333333
129.2963,145.2181,165.9412,132.2988,138.2993,145.6776,101.4666667
126.985,144.5419,166.0321,131.1956,137.3259,145.0357,101.4333333
126.2799,147.8785,163.0224,130.695,138.9193,141.3847,102.2666667
158.9794,159.8707,168.0913,129.1456,138.9079,147.5087,73.23333333
150.8529,152.2369,162.2966,131.8856,138.6586,143.0585,73.86666667
