Top_R,Top_G,Top_B,Thickness
0.4176723,0.38968557,0.29170734,48.26666667
0.45806846,0.47214994,0.41539195,47.96666667
0.42247188,0.42990822,0.3330762,48.16666667
0.43852523,0.44017264,0.33125636,48.6
0.32401308,0.17939743,0.10020948,59.53333333
0.26920184,0.23508157,0.049303547,59.76666667
0.34745848,0.1339952,0.037344374,59.8
0.19382791,0.35935783,0.12159444,60.1
0.22634192,0.17113225,0.1899896,68.26666667
0.112352066,0.10143085,0.2782453,68.83333333
0.15799324,0.15593362,0.23825528,68.2
0.064239495,0.058350768,0.19131544,69.7
0.04702278,0.060309954,0.35206184,79.1
0.079695575,0.05811611,0.5452984,80.03333333
0.041918483,0.056698915,0.47541046,79.0
0.036774635,0.14986432,0.44975913,81.46666667
0.022829702,0.2207481,0.59126955,92.4
0.035123304,0.1643955,0.68538165,92.83333333
0.028817233,0.23203039,0.65912956,93.53333333
0.019789511,0.17534444,0.57473904,93.5
0.029015573,0.10637644,0.5196405,81.5
0.028033832,0.090313755,0.6026132,81.83333333
0.03158051,0.06880508,0.5345161,81.73333333
0.030448565,0.083795,0.56308556,80.66666667
0.038804535,0.09984945,0.4572629,74.76666667
0.04761856,0.061742213,0.46851826,75.03333333
0.06975361,0.047804702,0.41861048,75.53333333
0.20906694,0.03478275,0.56042135,75.63333333
0.46688768,0.11445891,0.042485587,61.36666667
0.25546876,0.21258125,0.05094375,61.53333333
0.35729462,0.11532822,0.049014542,61.8
0.34734374,0.12585,0.09125625,61.86666667
0.23963147,0.039021157,0.39082965,63.5
0.32770118,0.050266962,0.116875425,64.9
0.22301807,0.040168058,0.17664798,63.5
0.02941948,0.16155462,0.5226704,77.03333333
0.021831853,0.099535935,0.58754075,78.53333333
0.03929582,0.03271538,0.470052,77.2
0.02203507,0.12221869,0.5214376,77.13333333
0.023818927,0.16007051,0.5264799,87.6
0.03138372,0.23978621,0.67175597,87.76666667
0.026690017,0.14915365,0.56346077,87.06666667
0.028674047,0.25847325,0.66891706,88.56666667
0.03484952,0.3422701,0.72006863,101.8333333
0.032499764,0.31665757,0.7197207,101.4666667
0.03249375,0.3115375,0.68391716,101.4333333
0.026401937,0.41294327,0.7253421,102.2666667
0.04621176,0.08056578,0.519042,73.23333333
0.044738404,0.08740172,0.5123989,73.86666667
0.05073965,0.04068252,0.5672312,73.13333333
0.024659561,0.09636231,0.5674057,73.76666667
0.025329497,0.32777283,0.69635326,84.5
0.02603027,0.21373448,0.64778054,82.73333333
0.023876019,0.26107404,0.6280915,84.53333333
0.02436843,0.20657852,0.61672395,83.06666667
0.053484283,0.3195646,0.63373893,96.63333333
0.040491544,0.36712676,0.71961206,95.93333333
0.02308208,0.3553082,0.7451544,97.46666667
0.03435625,0.3653172,0.72682345,97.93333333
0.27111202,0.5063661,0.7196427,111.9
0.1900974,0.41682056,0.6348093,109.4333333
0.11367954,0.448958,0.70438695,109.3
0.18860629,0.48635596,0.6687255,111.5333333
0.038237505,0.29844734,0.65972424,77.8
0.030678373,0.3431601,0.7021611,80.3
0.022968553,0.32671288,0.64261985,75.9
0.028889263,0.35051432,0.65922606,77.73333333
0.17448205,0.5429562,0.6915414,100.0666667
0.118564315,0.4078559,0.6226731,93.93333333
0.12358095,0.46059126,0.700595,96.16666667
0.1169324,0.43469176,0.6689196,95.9
0.44347748,0.61870027,0.41258833,124.4333333
0.47848004,0.55262154,0.47405255,117.7
0.45219252,0.6282261,0.56025696,115.4666667
0.47490054,0.6534188,0.51402867,120.0666667
0.61122954,0.5885346,0.1124057,153.3
0.6161297,0.604113,0.04253849,161.1
0.58819497,0.57526946,0.11643726,141.1
0.56138355,0.6246812,0.17584307,150.0666667
0.03870359,0.096610665,0.5956484,69.53333333
0.043220766,0.09811383,0.43488613,69.43333333
0.027518515,0.12128501,0.49850714,68.7
0.061738666,0.09935508,0.5192844,69.86666667
0.019448487,0.2303235,0.5816231,82.16666667
0.028010592,0.2362178,0.66278654,83.43333333
0.02321113,0.20727368,0.6288327,82.16666667
0.03478944,0.23855579,0.63880086,84.33333333
0.073703535,0.34552372,0.70314837,96.26666667
0.023117946,0.38624576,0.73468393,96.1
0.041176356,0.34651652,0.7189534,96.56666667
0.044749558,0.39302224,0.6784354,96.8
0.06572507,0.507415,0.68951166,110.5
0.1900557,0.4811373,0.6490382,111.3333333
0.19858699,0.4077481,0.640037,109.7333333
0.13970937,0.44938594,0.6493047,111.4
0.4028253,0.054732654,0.08336349,62.36666667
0.19805993,0.09214031,0.041259844,63.16666667
0.16411333,0.10714137,0.06328126,63.16666667
0.23296094,0.12160092,0.034186948,63.6
0.045920778,0.08351745,0.5043815,75.2
0.09228651,0.03361666,0.5527383,74.2
0.059929494,0.056677215,0.4096881,74.2
0.051388215,0.047761142,0.41696617,74.8
0.02113187,0.22174597,0.63697,86.46666667
0.025166137,0.21091089,0.6704649,87.7
0.020744737,0.2036848,0.6628658,86.8
0.02610452,0.18948528,0.5863687,87.36666667
0.021958644,0.32446256,0.73694474,98.33333333
0.026215447,0.3549921,0.68872255,99.36666667
0.02826626,0.32022384,0.68081063,98.7
0.022758609,0.34143153,0.7216369,100.6
0.335475,0.16145626,0.0545,61.3
0.12098375,0.25879386,0.12467538,61.73333333
0.3479955,0.27200103,0.05648212,61.06666667
0.23513603,0.17124721,0.10241617,61.46666667
0.12976463,0.037876844,0.46383497,73.3
0.06823813,0.04826497,0.4250917,74.06666667
0.122490235,0.09840771,0.42688224,72.8
0.13524617,0.037509456,0.3564333,73.4
0.02564885,0.19347633,0.59462863,84.5
0.024574138,0.12547292,0.6218617,84.73333333
0.027503954,0.12412817,0.49704853,84.03333333
0.021358564,0.12680396,0.5651703,84.63333333
0.02212315,0.3000598,0.6543737,98.36666667
0.021474823,0.24869306,0.7000404,97.03333333
0.023309497,0.26795697,0.6956568,96.26666667
0.018895786,0.2869505,0.6984297,97.76666667
