Top_R,Top_G,Top_B,Bot_R,Bot_G,Bot_B,Thickness
0.40475908,0.18402232,-0.5887817,-1.0084043,-0.14437218,1.1527768,48.26666667
0.07808647,0.19350167,-0.27158844,-1.0663074,0.030654624,1.0356525,47.96666667
-0.18094352,-0.19523005,0.37617362,-1.0439639,0.08766981,0.95629394,48.16666667
-0.53896475,-0.77506316,1.3140279,-1.011066,-0.06009852,1.0711639,48.6
-0.62069494,-0.6381722,1.258867,-1.0180053,0.11345394,0.90455216,59.53333333
-0.6272839,-0.6461423,1.2734263,-0.8561149,-0.038519014,0.8946334,59.76666667
-1.0331953,-0.27164707,1.3048422,-1.1475918,0.13257623,1.0150156,59.8
-0.9939793,-0.32745004,1.3214294,-0.9924936,-0.018074285,1.0105677,60.1
-0.9948264,-0.33313248,1.327959,-1.1542645,0.23037528,0.92388916,68.26666667
-0.9986474,-0.3221841,1.3208314,-0.88178253,-0.01777856,0.899562,68.83333333
-1.1369741,-0.12289566,1.2598697,-1.0575705,0.09656805,0.961003,68.2
-1.197414,-0.00600645,1.2034206,-1.097164,0.12774439,0.96942043,69.7
-1.1546992,-0.08391242,1.2386117,-1.107782,0.23786525,0.8699166,79.1
-0.40236685,-0.46101972,0.8633865,-0.9777318,0.16615924,0.81157255,80.03333333
-1.1634933,-0.07035879,1.233852,-1.0777463,0.079859056,0.9978876,79.0
0.90362424,-0.13318709,-0.7704372,-0.97004294,0.02498554,0.945058,81.46666667
-0.33653045,0.646721,-0.31019068,-1.1398158,0.19747779,0.9423386,92.4
0.61766136,0.23451455,-0.8521758,-0.9730703,0.16725436,0.8058153,92.83333333
0.45810258,0.011523804,-0.46962637,-1.0455893,0.20511109,0.84047824,93.53333333
-0.38475975,-0.82276154,1.2075213,-0.94545305,-0.104624964,1.0500773,93.5
-0.56962776,-0.67094505,1.2405728,-0.87146825,-0.09337219,0.9648401,81.5
-0.48720902,-0.61280096,1.1000102,-1.0022618,0.14946367,0.8527976,81.83333333
-0.23708005,-0.80006963,1.0371497,-1.0649471,0.08586617,0.979081,81.73333333
-0.9921096,-0.31414595,1.3062552,-1.113331,0.14566553,0.96766543,80.66666667
-0.65666604,-0.57443005,1.2310959,-0.95649177,-0.0523017,1.0087937,74.76666667
-0.86233926,-0.4884565,1.3507957,-0.9683615,0.0057892725,0.9625715,75.03333333
-0.88630784,-0.43254775,1.3188555,-0.8117334,-0.09007562,0.9018099,75.53333333
-0.88034004,-0.45139986,1.3317399,-1.0416522,0.027496051,1.0141561,75.63333333
-1.144605,-0.09605848,1.2406636,-0.9963457,0.15866911,0.83767736,61.36666667
-1.0557511,-0.26122308,1.316974,-1.0357777,0.04610562,0.9896716,61.53333333
-1.0768005,-0.2149581,1.2917584,-0.8863362,-0.16976157,1.0560973,61.8
-1.1079246,-0.16767085,1.2755957,-1.0852966,0.12632494,0.9589721,61.86666667
-0.6144084,-0.7039873,1.3183957,-0.9882984,-0.024923835,1.013222,63.5
-0.70494175,-0.6352171,1.3401589,-0.9665408,-0.16379377,1.1303343,64.9
-0.88026345,-0.312555,1.1928185,-1.1129045,0.3091528,0.8037518,63.5
-1.0494745,-0.23637272,1.2858473,-0.81347775,0.07461069,0.7388671,77.03333333
-0.9058884,-0.45519644,1.3610848,-0.9095537,-0.17748135,1.0870353,78.53333333
-1.0317667,-0.27708247,1.308849,-0.8520825,-0.06801127,0.92009383,77.2
-0.986675,-0.33862743,1.3253025,-0.9376878,-0.067167796,1.004855,77.13333333
0.23924932,0.3043717,-0.5436211,-0.84652215,-0.05991811,0.9064411,87.6
-0.8353088,-0.49402374,1.3293325,-0.89460546,-0.009180397,0.90378505,87.76666667
-0.79319143,-0.56049544,1.353687,-0.9667242,-0.043087725,1.0098121,87.06666667
-0.75880045,-0.6019106,1.360711,-0.9857946,-0.07599484,1.0617895,88.56666667
-0.7854828,-0.5709785,1.3564613,-0.90907,0.050756384,0.85831356,101.8333333
-0.77154636,-0.476853,1.2483993,-1.1061312,0.07279463,1.0333362,101.4666667
-0.6861698,-0.6193328,1.3055025,-0.9953381,-0.13069941,1.1260378,101.4333333
-0.5577248,-0.67008865,1.2278136,-1.0423702,0.03230016,1.0100696,102.2666667
-0.2480733,-0.98056173,1.228635,-0.7779271,-0.28694046,1.0648674,73.23333333
1.2073345,-0.43587187,-0.7714624,-0.72432286,-0.037245568,0.7615675,73.86666667
0.535356,0.25695354,-0.7923096,-0.88176286,0.20658176,0.6751802,73.13333333
0.26844174,0.28102264,-0.549464,-1.0126858,0.020495513,0.99218947,73.76666667
1.0158584,-0.32429343,-0.69156504,-0.8499185,-0.09257264,0.942491,84.5
0.9575907,-0.37475035,-0.5828405,-1.0472004,0.05365061,0.9935495,82.73333333
0.090183206,-1.0084064,0.9182233,-1.1226532,0.023660833,1.0989923,84.53333333
0.9249789,-0.651768,-0.27321097,-0.908725,-0.14949079,1.0582151,83.06666667
0.5223625,-0.7276706,0.20530827,-1.0435154,-0.04259669,1.086112,96.63333333
-0.9457924,-0.34627116,1.2920637,-1.1820849,0.3097355,0.8723496,95.93333333
-0.82996535,-0.52929837,1.3592638,-0.95307267,0.04564713,0.9074257,97.46666667
-0.6530628,-0.6834584,1.336521,-1.0131375,-0.13382292,1.1469605,97.93333333
-0.88684434,-0.44231996,1.3291643,-0.97605664,0.09018881,0.8858673,111.9
-0.9632613,-0.34695643,1.3102177,-0.6348753,-0.011261274,0.64613706,109.4333333
0.7440212,-0.13213159,-0.61188966,-0.96818185,0.059893586,0.9082891,109.3
-1.0286273,-0.27090934,1.2995366,-0.8380793,0.008556459,0.82952285,111.5333333
-0.92760485,-0.4106625,1.3382673,-0.85442317,-0.2639777,1.118401,77.8
-1.0644742,-0.22101611,1.2854903,-1.0326823,0.041004088,0.991678,80.3
-1.1586434,-0.08216294,1.2408065,-1.0477654,0.016252795,1.0315127,75.9
-1.129258,-0.13824107,1.2674989,-0.9083664,-0.15845434,1.0668207,77.73333333
-1.1398929,-0.11434364,1.2542366,-0.8816375,-0.14934139,1.0309781,100.0666667
-1.24285,0.08489143,1.1579583,-0.9888408,0.22825569,0.76058465,93.93333333
-0.7323537,-0.5835346,1.315888,-1.0807886,0.01637493,1.0644137,96.16666667
-0.7478971,-0.56032443,1.3082217,-0.9105599,0.028052902,0.8825073,95.9
-0.65359,-0.69252837,1.3461183,-0.9593448,-0.16088066,1.1202258,124.4333333
0.57393533,0.34266868,-0.9166039,-0.8763876,0.17285977,0.70352834,117.7
-0.8140598,-0.529062,1.3431219,-0.9084748,-0.18316953,1.0916449,115.4666667
-1.1494467,-0.07809182,1.2275387,-1.0934162,0.14335212,0.9500639,120.0666667
-1.009404,-0.3072069,1.3166107,-1.0086443,-0.14525393,1.1538988,153.3
-1.0992012,-0.16958453,1.2687857,-0.9558941,0.024148295,0.9317465,161.1
-1.0125856,-0.29792088,1.3105065,-1.0989574,0.22860883,0.87034833,141.1
-1.1575141,-0.06578128,1.2232953,-0.79062015,-0.09736341,0.88798416,150.0666667
-1.1844275,-0.03045226,1.2148796,-0.8126747,0.051291298,0.76138246,69.53333333
-1.1775252,-0.064362526,1.2418877,-1.0308299,-0.04252088,1.0733505,69.43333333
-1.1878216,-0.03545178,1.2232734,-1.0073438,-0.0636186,1.0709625,68.7
-1.1564813,0.037164297,1.1193168,-0.9934168,-0.13591555,1.1293322,69.86666667
1.124708,-0.25094372,-0.87376416,-0.65445423,-0.102853075,0.75730735,82.16666667
-1.161778,0.015099396,1.1466786,-1.0329996,-0.06557429,1.098574,83.43333333
-1.2227042,0.10550892,1.1171952,-1.0986639,0.09625767,1.0024059,82.16666667
-1.2332338,0.18295574,1.0502781,-0.92180234,0.0123282205,0.9094745,84.33333333
-1.1266923,-0.12917067,1.255863,-0.8332741,-0.10002732,0.9333011,96.26666667
-1.1664151,-0.05514337,1.2215586,-1.1083512,0.08327314,1.0250782,96.1
-1.1891636,-0.01560237,1.204766,-1.1162478,0.16481219,0.95143574,96.56666667
-1.202321,0.016325003,1.185996,-0.8493744,0.12055071,0.7288237,96.8
-1.290145,0.32032144,0.96982384,-0.84429353,0.19862501,0.6456681,110.5
-1.226256,0.11509108,1.1111647,-0.8482124,-0.076319695,0.92453176,111.3333333
-1.2389625,0.13149576,1.1074666,-0.8994629,-0.15284188,1.0523047,109.7333333
-0.18136491,0.78388035,-0.6025155,-1.1661777,0.24562769,0.9205499,111.4
-1.2351142,0.11862651,1.1164877,-1.067868,-0.038428757,1.1062961,62.36666667
-0.36676812,0.9690156,-0.6022471,-0.8788478,-0.17154054,1.0503881,63.16666667
-0.18883248,0.41363218,-0.22480017,-0.6822527,-0.10286833,0.78512126,63.16666667
-0.7107776,0.6104798,0.10029732,-0.7674172,0.053232983,0.7141838,63.6
-0.6260104,0.91440696,-0.28839624,-1.0584395,-0.058937464,1.1173774,75.2
0.70488936,0.61284083,-1.3177301,-0.9678218,-0.15064111,1.1184624,74.2
0.70101035,0.6578536,-1.3588643,-1.0213455,0.06787508,0.953471,74.2
0.68686515,0.63190705,-1.3187718,-0.6838881,-0.21063256,0.8945215,74.8
0.47716406,0.75835276,-1.2355168,-1.0949423,0.061752453,1.0331898,86.46666667
-0.7806457,-0.5600806,1.3407261,-0.9802004,-0.018389447,0.9985904,87.7
0.18243882,-0.14757021,-0.034868274,-0.9842136,0.12999047,0.85422313,86.8
-0.7640919,-0.48232162,1.2464137,-0.8979156,0.053093623,0.8448223,87.36666667
-0.8390707,-0.42110893,1.2601795,-1.117889,0.14240064,0.9754885,98.33333333
-0.71900064,-0.5551316,1.2741323,-0.7912555,-0.06994386,0.86119884,99.36666667
-1.0818894,-0.19653344,1.2784227,-1.1238165,0.15401089,0.9698055,98.7
-1.034941,-0.2680873,1.3030285,-0.95861506,0.07502706,0.8835875,100.6
-1.0055563,-0.3024098,1.3079662,-0.92865497,0.0035468882,0.925108,61.3
-1.0421869,-0.2535212,1.2957081,-0.50391686,-0.16349304,0.66740966,61.73333333
-1.1351975,-0.10808831,1.2432858,-0.6681176,-0.20188889,0.87000597,61.06666667
-1.2140294,0.016574588,1.1974546,-1.183462,0.23660508,0.94685715,61.46666667
-1.1599752,-0.07911582,1.239091,-0.8096323,-0.15801106,0.96764266,73.3
-0.36553726,-0.44282475,0.8083618,-1.0772672,0.2935853,0.78368163,74.06666667
-1.2341795,0.07900156,1.1551777,-0.9263509,0.08887295,0.83747894,72.8
-1.3179114,0.32109416,0.9968174,-1.2136564,0.23846704,0.97518945,73.4
-1.2482617,0.20488048,1.0433813,-0.9923416,0.016602805,0.9757383,84.5
-1.1269774,-0.040072028,1.1670496,-0.8219849,-0.23088352,1.0528678,84.73333333
-1.2501643,0.16748437,1.0826796,-1.0454309,0.00010074158,1.0453302,84.03333333
1.107567,-0.62503767,-0.4825292,-0.65527695,-0.11104116,0.76631725,84.63333333
0.7106664,-0.14889292,-0.5617735,-1.0831473,0.323394,0.7597531,98.36666667
0.48044077,-0.039923407,-0.44051734,-1.1350403,0.1440113,0.9910293,97.03333333
0.7601946,-0.05869772,-0.7014968,-1.0672027,0.14289135,0.92431194,96.26666667
-0.7367182,-0.56919485,1.305913,-1.1639786,0.19678645,0.96719277,97.76666667
