Top_R,Top_G,Top_B,Thickness
11.6946,10.9098,8.1691,48.26666667
12.3677,12.7517,11.2189,47.96666667
12.6729,12.8985,9.9953,48.16666667
11.4028,11.4436,8.6145,48.6
5.514,3.0513,1.7067,59.53333333
5.9236,5.1739,1.0853,59.76666667
10.7725,4.1524,1.1613,59.8
2.9103,5.3918,1.8274,60.1
2.4871,1.8839,2.0901,68.26666667
1.4615,1.3166,3.6188,68.83333333
1.8988,1.8712,2.8589,68.2
1.0928,0.9928,3.2544,69.7
1.2227,1.5708,9.1558,79.1
1.9156,1.3974,13.0864,80.03333333
1.2174,1.6446,13.7874,79.0
0.701,2.85,8.5446,81.46666667
1.0766,10.3766,27.7961,92.4
1.7597,8.2251,34.2585,92.83333333
1.3011,10.4429,29.6415,93.53333333
1.1102,9.8203,32.1856,93.5
0.8998,3.3028,16.1094,81.5
0.7575,2.4408,16.2737,81.83333333
0.8211,1.7857,13.8965,81.73333333
1.0358,2.8501,19.1429,80.66666667
0.6979,1.799,8.2336,74.76666667
0.9524,1.2308,9.373,75.03333333
1.6037,1.0956,9.6259,75.53333333
4.8117,0.7997,12.8999,75.63333333
9.8057,2.4046,0.8923,61.36666667
4.0894,3.4003,0.8162,61.53333333
5.3607,1.729,0.7358,61.8
5.5553,2.016,1.4648,61.86666667
3.5989,0.5848,5.8631,63.5
5.5757,0.8473,1.9884,64.9
3.3472,0.6053,2.6539,63.5
0.7371,4.0408,13.0685,77.03333333
0.6771,3.087,18.2222,78.53333333
1.2181,1.0138,14.5722,77.2
0.6837,3.7909,16.162,77.13333333
1.0012,6.7296,22.1016,87.6
1.2301,9.3527,26.217,87.76666667
1.3642,7.6061,28.7302,87.06666667
1.0925,9.8276,25.4073,88.56666667
2.0277,19.8563,41.7596,101.8333333
1.8571,18.0529,41.0226,101.4666667
2.0851,19.9437,43.7618,101.4333333
1.4944,23.1218,40.6308,102.2666667
1.0167,1.7757,11.4235,73.23333333
1.208,2.3541,13.8516,73.86666667
1.4236,1.1423,15.8795,73.13333333
0.6164,2.4102,14.1828,73.76666667
0.9701,12.4574,26.4622,84.5
1.2017,9.8333,29.7851,82.73333333
1.1016,12.0178,28.8968,84.53333333
1.0981,9.3113,27.733,83.06666667
3.6932,22.0534,43.7214,96.63333333
2.149,19.455,38.1457,95.93333333
1.3866,21.3182,44.7143,97.46666667
2.201,23.3901,46.5148,97.93333333
15.7286,29.3697,41.7364,111.9
12.9121,28.3493,43.1599,109.4333333
7.3921,29.1831,45.7987,109.3
12.2563,31.6143,43.469,111.5333333
1.9926,15.5213,34.3041,77.8
1.723,19.2186,39.3181,80.3
1.0375,14.697,28.919,75.9
1.359,16.4762,30.9824,77.73333333
10.9974,34.2157,43.5707,100.0666667
8.0551,27.7458,42.3376,93.93333333
7.4199,27.6391,42.0386,96.16666667
7.1332,26.5128,40.8077,95.9
24.294,32.6963,22.8125,124.4333333
29.749,32.3416,29.5924,117.7
22.7318,29.2467,26.7219,115.4666667
23.7581,32.6645,25.6994,120.0666667
30.5644,29.4258,5.6312,153.3
28.3494,27.7874,1.9627,161.1
30.5762,29.9261,6.0652,141.1
25.2595,28.1102,7.9115,150.0666667
0.8524,2.1204,13.1083,69.53333333
1.0372,2.3551,10.4366,69.43333333
0.6054,2.6688,10.9676,68.7
1.4199,2.28,11.943,69.86666667
0.954,11.2825,28.4855,82.16666667
1.2881,10.8665,30.4869,83.43333333
0.8836,7.8863,23.8868,82.16666667
1.497,10.257,27.4704,84.33333333
4.8602,22.8063,46.4047,96.26666667
1.347,22.4046,42.6067,96.1
2.5925,21.827,45.3033,96.56666667
2.5556,22.3984,38.6749,96.8
3.9448,30.4461,41.3735,110.5
12.5438,31.7587,42.8396,111.3333333
13.495,27.7204,43.5363,109.7333333
8.9459,28.7634,41.5479,111.4
7.6488,1.0402,1.5892,62.36666667
3.3711,1.5668,0.7039,63.16666667
2.4614,1.61,0.9501,63.16666667
3.4993,1.8234,0.517,63.6
0.8266,1.505,9.0771,75.2
1.7547,0.6408,10.5083,74.2
1.381,1.304,9.4211,74.2
1.1307,1.0507,9.1807,74.8
0.6561,6.867,19.748,86.46666667
0.9846,8.2252,26.1575,87.7
0.7062,6.9219,22.5422,86.8
1.0983,7.9561,24.6343,87.36666667
1.08,15.8944,36.1115,98.33333333
1.3404,18.1072,35.1302,99.36666667
1.5583,17.6166,37.4424,98.7
1.1204,16.7356,35.3582,100.6
5.3716,2.5812,0.8722,61.3
1.4518,3.1071,1.4962,61.73333333
3.8287,2.9914,0.6223,61.06666667
3.0547,2.2278,1.3338,61.46666667
2.3389,0.6811,8.3485,73.3
1.2967,0.9224,8.0789,74.06666667
1.7161,1.3787,5.9764,72.8
2.709,0.7543,7.13,73.4
0.7447,5.6061,17.252,84.5
0.7379,3.7683,18.6581,84.73333333
0.9355,4.2157,16.8984,84.03333333
0.8366,4.9508,22.0309,84.63333333
1.1502,15.5998,34.0284,98.36666667
1.1882,13.6776,38.5057,97.03333333
1.1946,13.6719,35.4808,96.26666667
0.9543,14.3451,34.9208,97.76666667
