Top_R,Top_G,Top_B,Bot_R,Bot_G,Bot_B,Thickness
11.6946,10.9098,8.1691,30.0046,37.9564,49.9154,48.26666667
12.3677,12.7517,11.2189,25.7097,34.7937,43.0995,47.96666667
12.6729,12.8985,9.9953,31.0536,35.7752,41.5669,48.16666667
11.4028,11.4436,8.6145,24.925,32.4114,39.4482,48.6
5.514,3.0513,1.7067,25.9343,32.6192,38.1195,59.53333333
5.9236,5.1739,1.0853,27.0342,33.275,36.429,59.76666667
10.7725,4.1524,1.1613,29.7881,32.7569,37.3833,59.8
2.9103,5.3918,1.8274,20.134,32.968,39.0935,60.1
2.4871,1.8839,2.0901,24.7396,32.3884,37.3487,68.26666667
1.4615,1.3166,3.6188,21.3464,32.8469,36.9667,68.83333333
1.8988,1.8712,2.8589,24.1612,32.4805,38.8895,68.2
1.0928,0.9928,3.2544,18.3793,25.5807,29.6411,69.7
1.2227,1.5708,9.1558,24.3012,30.5552,37.9003,79.1
1.9156,1.3974,13.0864,23.3458,31.0868,39.4527,80.03333333
1.2174,1.6446,13.7874,24.8678,32.0745,43.7028,79.0
0.701,2.85,8.5446,22.6987,32.948,36.5031,81.46666667
1.0766,10.3766,27.7961,26.8261,31.7379,35.4239,92.4
1.7597,8.2251,34.2585,25.1305,31.0815,41.3161,92.83333333
1.3011,10.4429,29.6415,26.1919,30.8614,36.7411,93.53333333
1.1102,9.8203,32.1856,26.4598,33.1562,41.3463,93.5
0.8998,3.3028,16.1094,26.9426,32.5439,38.3436,81.5
0.7575,2.4408,16.2737,25.0076,31.5226,38.9284,81.83333333
0.8211,1.7857,13.8965,22.9047,30.1845,39.2854,81.73333333
1.0358,2.8501,19.1429,29.5069,35.4289,40.3831,80.66666667
0.6979,1.799,8.2336,22.9518,32.923,41.0781,74.76666667
0.9524,1.2308,9.373,24.5654,32.167,43.2317,75.03333333
1.6037,1.0956,9.6259,28.2056,36.6874,44.4242,75.53333333
4.8117,0.7997,12.8999,31.2023,34.5603,43.7983,75.63333333
9.8057,2.4046,0.8923,33.1605,36.7609,40.9441,61.36666667
4.0894,3.4003,0.8162,27.8517,34.0246,36.6785,61.53333333
5.3607,1.729,0.7358,27.1497,31.9284,38.455,61.8
5.5553,2.016,1.4648,25.4742,34.0455,41.3171,61.86666667
3.5989,0.5848,5.8631,23.3495,35.0102,45.9664,63.5
5.5757,0.8473,1.9884,30.7107,36.6909,46.2325,64.9
3.3472,0.6053,2.6539,26.1266,34.8378,44.6996,63.5
0.7371,4.0408,13.0685,25.6021,39.7929,45.1552,77.03333333
0.6771,3.087,18.2222,26.5635,33.6202,39.7211,78.53333333
1.2181,1.0138,14.5722,25.2157,34.253,47.4228,77.2
0.6837,3.7909,16.162,27.4583,34.5741,39.8987,77.13333333
1.0012,6.7296,22.1016,22.3703,25.5601,28.9268,87.6
1.2301,9.3527,26.217,26.6522,31.5242,36.2579,87.76666667
1.3642,7.6061,28.7302,26.4315,30.9775,41.6021,87.06666667
1.0925,9.8276,25.4073,21.032,29.4572,36.9152,88.56666667
2.0277,19.8563,41.7596,24.0796,32.3701,40.2659,101.8333333
1.8571,18.0529,41.0226,24.4385,29.7376,38.4424,101.4666667
2.0851,19.9437,43.7618,27.4,32.9754,41.9596,101.4333333
1.4944,23.1218,40.6308,26.3914,34.2253,37.6475,102.2666667
1.0167,1.7757,11.4235,24.57,34.4677,43.9195,73.23333333
1.208,2.3541,13.8516,25.9986,32.1663,37.7375,73.86666667
1.4236,1.1423,15.8795,28.0153,35.18,46.7055,73.13333333
0.6164,2.4102,14.1828,25.1231,30.8285,40.8654,73.76666667
0.9701,12.4574,26.4622,24.0632,34.1498,40.7215,84.5
1.2017,9.8333,29.7851,24.8331,33.1787,45.7127,82.73333333
1.1016,12.0178,28.8968,27.2132,34.0836,40.4461,84.53333333
1.0981,9.3113,27.733,24.2498,34.4547,39.3819,83.06666667
3.6932,22.0534,43.7214,29.4412,33.582,39.5003,96.63333333
2.149,19.455,38.1457,27.6851,32.3046,36.1073,95.93333333
1.3866,21.3182,44.7143,24.3727,32.678,42.046,97.46666667
2.201,23.3901,46.5148,27.2039,35.2956,45.0214,97.93333333
15.7286,29.3697,41.7364,26.0082,33.5692,44.7171,111.9
12.9121,28.3493,43.1599,24.7975,32.5611,41.9141,109.4333333
7.3921,29.1831,45.7987,23.4075,34.0297,42.0435,109.3
12.2563,31.6143,43.469,30.0103,35.6408,41.0741,111.5333333
1.9926,15.5213,34.3041,29.0829,33.6348,40.0527,77.8
1.723,19.2186,39.3181,24.4026,35.2304,43.7762,80.3
1.0375,14.697,28.919,22.7565,32.8835,39.0682,75.9
1.359,16.4762,30.9824,29.0973,34.2741,37.5237,77.73333333
10.9974,34.2157,43.5707,32.4573,38.1976,40.6545,100.0666667
8.0551,27.7458,42.3376,30.357,35.2472,41.5764,93.93333333
7.4199,27.6391,42.0386,27.689,33.4937,42.8463,96.16666667
7.1332,26.5128,40.8077,22.7631,32.2176,42.7821,95.9
24.294,32.6963,22.8125,29.2296,34.5332,43.6855,124.4333333
29.749,32.3416,29.5924,31.6374,34.5688,39.031,117.7
22.7318,29.2467,26.7219,28.3584,32.5823,35.9766,115.4666667
23.7581,32.6645,25.6994,24.7803,34.666,46.3011,120.0666667
30.5644,29.4258,5.6312,26.4142,33.1452,43.5784,153.3
28.3494,27.7874,1.9627,26.2134,35.1437,42.4274,161.1
30.5762,29.9261,6.0652,28.8353,31.5633,37.9281,141.1
25.2595,28.1102,7.9115,23.4722,33.6139,42.1568,150.0666667
0.8524,2.1204,13.1083,28.6347,36.3162,44.4532,69.53333333
