Top_R,Top_G,Top_B,Thickness
0.4047519,0.18401565,-0.58878416,48.26666667
0.07808707,0.19350038,-0.27158827,47.96666667
0.23925318,0.30437502,-0.5436275,48.16666667
0.26843905,0.28101847,-0.54945225,48.6
0.7440238,-0.13212976,-0.6119189,59.53333333
0.573887,0.34270647,-0.916672,59.76666667
1.1247017,-0.25093383,-0.8737362,59.8
-0.18136568,0.78381115,-0.60257614,60.1
0.18243854,-0.14757133,-0.034857165,68.26666667
-0.3655222,-0.44280928,0.8083607,68.83333333
-0.1809476,-0.195228,0.37617055,68.2
-0.4023888,-0.46101752,0.8634962,69.7
-0.6566754,-0.57443255,1.2310685,79.1
-0.6144069,-0.70400596,1.3184083,80.03333333
-0.7049578,-0.63522255,1.3401455,79.0
-0.88031477,-0.3125471,1.1928458,81.46666667
-1.0494398,-0.2363689,1.2858286,92.4
-0.9058583,-0.45519346,1.3610586,92.83333333
-1.0317276,-0.27706987,1.3087958,93.53333333
-0.98671454,-0.33862758,1.3253235,93.5
-0.835304,-0.4940188,1.329341,81.5
-0.7932125,-0.56049764,1.3536897,81.83333333
-0.7588702,-0.60194194,1.3605736,81.73333333
-0.7854303,-0.5709794,1.3564322,80.66666667
-0.77161866,-0.4768664,1.2484324,74.76666667
-0.6861814,-0.61933035,1.3055198,75.03333333
-0.5577097,-0.6700955,1.227806,75.53333333
-0.24808593,-0.9806112,1.2286806,75.63333333
1.2073263,-0.43586802,-0.7715056,61.36666667
0.5353597,0.2569567,-0.79231465,61.53333333
1.01585,-0.32429922,-0.6915523,61.8
0.9576324,-0.37475932,-0.58285886,61.86666667
0.09018457,-1.008422,0.91821563,63.5
0.9249877,-0.6517511,-0.2732167,64.9
0.52234834,-0.7277072,0.2053113,63.5
-0.9457612,-0.34627563,1.2920791,77.03333333
-0.82998157,-0.5292867,1.3592498,78.53333333
-0.6530459,-0.68343806,1.3365191,77.2
-0.88686746,-0.44231015,1.329171,77.13333333
-0.96323645,-0.34694242,1.3102362,87.6
-1.0285836,-0.27091387,1.2995287,87.76666667
-0.9275274,-0.41069463,1.338222,87.06666667
-1.0645479,-0.22101152,1.2855043,88.56666667
-1.1586512,-0.082163736,1.2408208,101.8333333
-1.129233,-0.1382425,1.2674901,101.4666667
-1.1399404,-0.11434172,1.2542292,101.4333333
-1.2428986,0.08488421,1.1579537,102.2666667
-0.73238623,-0.58354014,1.3158994,73.23333333
-0.747953,-0.56033844,1.3082024,73.86666667
-0.65363264,-0.6925727,1.346102,73.13333333
-0.81407017,-0.5290502,1.3431193,73.76666667
-1.1494668,-0.07809191,1.2275276,84.5
-1.0094041,-0.3071994,1.3165812,82.73333333
-1.0991745,-0.1695923,1.2687879,84.53333333
-1.0126796,-0.29790273,1.3105292,83.06666667
-1.1574966,-0.06578132,1.2232965,96.63333333
-1.1844337,-0.030452168,1.2148994,95.93333333
-1.1775484,-0.0643627,1.241908,97.46666667
-1.1878403,-0.03545136,1.2232804,97.93333333
-1.1564816,0.03716435,1.119322,111.9
-1.161785,0.0150993895,1.1466705,109.4333333
-1.2227104,0.10550839,1.1171905,109.3
-1.2332232,0.18295398,1.050286,111.5333333
-1.1267198,-0.12917176,1.2558526,77.8
-1.1663702,-0.055143602,1.221546,80.3
-1.1892387,-0.015601952,1.2047918,75.9
-1.2023212,0.016324962,1.1859962,77.73333333
-1.2901753,0.3203226,0.96983546,100.0666667
-1.2262583,0.11509089,1.111161,93.93333333
-1.2389362,0.131495,1.1074673,96.16666667
-1.2351227,0.11862577,1.1165042,95.9
-0.36675903,0.969014,-0.60223204,124.4333333
-0.18883076,0.4136328,-0.22479723,117.7
-0.7107868,0.6104755,0.10030115,115.4666667
-0.62598956,0.9144119,-0.28843316,120.0666667
0.7048793,0.612835,-1.3177409,153.3
0.70101225,0.6578552,-1.3588693,161.1
0.6868639,0.6319056,-1.3187599,141.1
0.4771626,0.758348,-1.2355101,150.0666667
-0.7806784,-0.5600903,1.3407279,69.53333333
-0.76402336,-0.48228717,1.2464867,69.43333333
-0.8391364,-0.42111933,1.2601882,68.7
-0.71898204,-0.5551597,1.2741799,69.86666667
-1.0818346,-0.19654019,1.2784213,82.16666667
-1.0348896,-0.26807395,1.3029472,83.43333333
-1.0055264,-0.30241498,1.3079455,82.16666667
-1.0421708,-0.25351793,1.2957151,84.33333333
-1.135246,-0.10808779,1.2433318,96.26666667
-1.2140212,0.01657437,1.197441,96.1
-1.159963,-0.07911458,1.2390918,96.56666667
-1.2342132,0.07900099,1.1551776,96.8
-1.31792,0.3210915,0.99684227,110.5
-1.2482746,0.20487769,1.0433953,111.3333333
-1.1269367,-0.04007213,1.1670341,109.7333333
-1.2501658,0.1674755,1.0826402,111.4
1.1076161,-0.625014,-0.48253387,62.36666667
0.7106468,-0.14889243,-0.5617411,63.16666667
0.48041505,-0.03992367,-0.440548,63.16666667
0.7602168,-0.05869466,-0.70159584,63.6
-0.7367611,-0.56921715,1.3059188,75.2
-0.5389735,-0.7750557,1.3140569,74.2
-0.62071246,-0.63818973,1.2588491,74.2
-0.6273196,-0.64618075,1.2734241,74.8
-1.0331506,-0.27165514,1.3048378,86.46666667
-0.99398047,-0.32744396,1.3214312,87.7
-0.9948608,-0.33313853,1.3278898,86.8
-0.9986502,-0.322182,1.3207783,87.36666667
