Top_R,Top_G,Top_B,Bot_R,Bot_G,Bot_B,Thickness
0.4047519,0.18401565,-0.58878416,-1.0084,-0.14437422,1.1527708,48.26666667
0.07808707,0.19350038,-0.27158827,-1.0663013,0.030654913,1.0356535,47.96666667
0.23925318,0.30437502,-0.5436275,-0.8464919,-0.059919268,0.9064681,48.16666667
0.26843905,0.28101847,-0.54945225,-1.0126915,0.020495065,0.99218464,48.6
0.7440238,-0.13212976,-0.6119189,-0.96817267,0.059891988,0.90828913,59.53333333
0.573887,0.34270647,-0.916672,-0.8763859,0.17285883,0.7035289,59.76666667
1.1247017,-0.25093383,-0.8737362,-0.65445155,-0.10285143,0.7573083,59.8
-0.18136568,0.78381115,-0.60257614,-1.1661642,0.24562791,0.9205409,60.1
0.18243854,-0.14757133,-0.034857165,-0.98421973,0.12998965,0.8542217,68.26666667
-0.3655222,-0.44280928,0.8083607,-1.0772623,0.29358235,0.7836688,68.83333333
-0.1809476,-0.195228,0.37617055,-1.0439222,0.087670065,0.9562671,68.2
-0.4023888,-0.46101752,0.8634962,-0.9777147,0.16615619,0.81156677,69.7
-0.6566754,-0.57443255,1.2310685,-0.9564954,-0.05230164,1.0087997,79.1
-0.6144069,-0.70400596,1.3184083,-0.9882998,-0.024924014,1.0132324,80.03333333
-0.7049578,-0.63522255,1.3401455,-0.96653205,-0.1637941,1.1303297,79.0
-0.88031477,-0.3125471,1.1928458,-1.1129098,0.30914763,0.80376303,81.46666667
-1.0494398,-0.2363689,1.2858286,-0.8134587,0.07460739,0.7388735,92.4
-0.9058583,-0.45519346,1.3610586,-0.9095528,-0.1774819,1.0870403,92.83333333
-1.0317276,-0.27706987,1.3087958,-0.85208595,-0.068011284,0.9200921,93.53333333
-0.98671454,-0.33862758,1.3253235,-0.93769014,-0.067167774,1.0048479,93.5
-0.835304,-0.4940188,1.329341,-0.89462227,-0.009180691,0.90381736,81.5
-0.7932125,-0.56049764,1.3536897,-0.96672165,-0.043087758,1.0098064,81.83333333
-0.7588702,-0.60194194,1.3605736,-0.9857808,-0.07599233,1.061777,81.73333333
-0.7854303,-0.5709794,1.3564322,-0.90907764,0.050755363,0.8583253,80.66666667
-0.77161866,-0.4768664,1.2484324,-1.1061656,0.07279612,1.0333838,74.76666667
-0.6861814,-0.61933035,1.3055198,-0.99533254,-0.13070388,1.126046,75.03333333
-0.5577097,-0.6700955,1.227806,-1.0424052,0.03230015,1.0100532,75.53333333
-0.24808593,-0.9806112,1.2286806,-0.77793723,-0.2869445,1.0648623,75.63333333
1.2073263,-0.43586802,-0.7715056,-0.72432345,-0.037245218,0.76157725,61.36666667
0.5353597,0.2569567,-0.79231465,-0.8817637,0.20657979,0.6751798,61.53333333
1.01585,-0.32429922,-0.6915523,-0.84994376,-0.09257595,0.94248074,61.8
0.9576324,-0.37475932,-0.58285886,-1.0471998,0.053650502,0.9935413,61.86666667
0.09018457,-1.008422,0.91821563,-1.1226429,0.02366101,1.0989926,63.5
0.9249877,-0.6517511,-0.2732167,-0.9087291,-0.14949092,1.0582218,64.9
0.52234834,-0.7277072,0.2053113,-1.043511,-0.042596523,1.0861182,63.5
-0.9457612,-0.34627563,1.2920791,-1.1820918,0.30973342,0.87234795,77.03333333
-0.82998157,-0.5292867,1.3592498,-0.95308816,0.045648035,0.9074299,78.53333333
-0.6530459,-0.68343806,1.3365191,-1.013146,-0.13382518,1.1469567,77.2
-0.88686746,-0.44231015,1.329171,-0.976056,0.09018736,0.88586456,77.13333333
-0.96323645,-0.34694242,1.3102362,-0.6348726,-0.0112615125,0.6461455,87.6
-1.0285836,-0.27091387,1.2995287,-0.8380754,0.008556069,0.82951736,87.76666667
-0.9275274,-0.41069463,1.338222,-0.85442626,-0.26397857,1.1183985,87.06666667
-1.0645479,-0.22101152,1.2855043,-1.0327109,0.041004132,0.9916665,88.56666667
-1.1586512,-0.082163736,1.2408208,-1.0477623,0.016253324,1.0315176,101.8333333
-1.129233,-0.1382425,1.2674901,-0.9083749,-0.15845083,1.0668159,101.4666667
-1.1399404,-0.11434172,1.2542292,-0.8816414,-0.14933954,1.0309764,101.4333333
-1.2428986,0.08488421,1.1579537,-0.98884267,0.22825447,0.76058376,102.2666667
-0.73238623,-0.58354014,1.3158994,-1.0807893,0.016374951,1.0644188,73.23333333
-0.747953,-0.56033844,1.3082024,-0.9105589,0.028052237,0.88250935,73.86666667
-0.65363264,-0.6925727,1.346102,-0.959348,-0.16088235,1.1202285,73.13333333
-0.81407017,-0.5290502,1.3431193,-0.9084825,-0.18317504,1.0916353,73.76666667
-1.1494668,-0.07809191,1.2275276,-1.0934224,0.14335595,0.95005506,84.5
-1.0094041,-0.3071994,1.3165812,-1.0086133,-0.14524892,1.153838,82.73333333
-1.0991745,-0.1695923,1.2687879,-0.9559245,0.024150519,0.93171847,84.53333333
-1.0126796,-0.29790273,1.3105292,-1.0989741,0.22861038,0.8703656,83.06666667
-1.1574966,-0.06578132,1.2232965,-0.79062,-0.097363144,0.8879746,96.63333333
-1.1844337,-0.030452168,1.2148994,-0.8126912,0.05129089,0.7613662,95.93333333
-1.1775484,-0.0643627,1.241908,-1.0308306,-0.042520344,1.0733516,97.46666667
-1.1878403,-0.03545136,1.2232804,-1.0073501,-0.06361857,1.0709666,97.93333333
-1.1564816,0.03716435,1.119322,-0.99342424,-0.13591632,1.1293324,111.9
-1.161785,0.0150993895,1.1466705,-1.033021,-0.065570846,1.0985796,109.4333333
-1.2227104,0.10550839,1.1171905,-1.0986555,0.09625735,1.0023887,109.3
-1.2332232,0.18295398,1.050286,-0.9217889,0.012327871,0.909487,111.5333333
-1.1267198,-0.12917176,1.2558526,-0.83328176,-0.100029,0.9333305,77.8
-1.1663702,-0.055143602,1.221546,-1.1083522,0.08327307,1.0250758,80.3
-1.1892387,-0.015601952,1.2047918,-1.1162552,0.16482635,0.9514353,75.9
-1.2023212,0.016324962,1.1859962,-0.8493712,0.120550245,0.7288211,77.73333333
-1.2901753,0.3203226,0.96983546,-0.84430283,0.19862646,0.6456634,100.0666667
-1.2262583,0.11509089,1.111161,-0.8482089,-0.07632048,0.9245295,93.93333333
-1.2389362,0.131495,1.1074673,-0.8994653,-0.15284441,1.0523058,96.16666667
-1.2351227,0.11862577,1.1165042,-1.0678605,-0.038428277,1.1062934,95.9
-0.36675903,0.969014,-0.60223204,-0.87884736,-0.17154184,1.0503918,124.4333333
-0.18883076,0.4136328,-0.22479723,-0.68226427,-0.10286959,0.78513664,117.7
-0.7107868,0.6104755,0.10030115,-0.7674217,0.053232856,0.7141721,115.4666667
-0.62598956,0.9144119,-0.28843316,-1.0584376,-0.058938336,1.1173899,120.0666667
0.7048793,0.612835,-1.3177409,-0.9678227,-0.1506384,1.118464,153.3
0.70101225,0.6578552,-1.3588693,-1.021358,0.06787598,0.953483,161.1
0.6868639,0.6319056,-1.3187599,-0.6838898,-0.21063045,0.8945162,141.1
0.4771626,0.758348,-1.2355101,-1.0949506,0.06175226,1.0331978,150.0666667
-0.7806784,-0.5600903,1.3407279,-0.9801998,-0.018389404,0.998593,69.53333333
-0.76402336,-0.48228717,1.2464867,-0.89789814,0.053093787,0.84480965,69.43333333
-0.8391364,-0.42111933,1.2601882,-1.1178827,0.14239839,0.9754789,68.7
-0.71898204,-0.5551597,1.2741799,-0.7912462,-0.06994506,0.861197,69.86666667
-1.0818346,-0.19654019,1.2784213,-1.123772,0.15399855,0.9697945,82.16666667
-1.0348896,-0.26807395,1.3029472,-0.95861554,0.07502799,0.88357323,83.43333333
-1.0055264,-0.30241498,1.3079455,-0.92865896,0.0035469604,0.9251016,82.16666667
-1.0421708,-0.25351793,1.2957151,-0.5039135,-0.16349213,0.66740716,84.33333333
-1.135246,-0.10808779,1.2433318,-0.668105,-0.20188974,0.86998546,96.26666667
