R,G,B,Thickness
11.6948,10.9112,8.1678,48.26666667
16.3678,15.7481,17.2156,47.96666667
10.6743,14.8974,17.9923,48.16666667
16.4017,16.4446,18.6127,48.6
9.5079,8.0496,12.7035,59.53333333
7.9224,9.1718,14.0847,59.76666667
10.7711,9.1537,13.1577,59.8
11.9074,10.3907,11.8239,60.1
7.4898,6.8825,14.0899,68.26666667
9.4606,6.3186,15.6174,68.83333333
6.8959,6.8712,13.8591,68.2
12.092,12.9919,23.2522,69.7
6.2226,8.5681,21.1537,79.1
7.9127,7.3948,23.0872,80.03333333
6.2156,6.6442,19.7869,79.0
7.6987,7.8475,21.5454,81.46666667
4.073,16.3751,41.7897,92.4
5.7562,14.2197,42.2675,92.83333333
4.2968,17.4421,42.6605,93.53333333
4.1082,13.8192,40.1856,93.5
3.8995,8.2975,27.1091,81.5
4.7569,8.4384,26.2706,81.83333333
7.8211,8.789,23.897,81.73333333
1.0352,4.8488,28.145,80.66666667
7.6985,6.7974,16.2308,74.76666667
5.9524,6.2349,15.3706,75.03333333
2.6044,2.0995,14.6276,75.53333333
2.8616,3.8,18.8897,75.63333333
5.8475,3.4037,8.8922,61.36666667
6.0875,6.4013,13.8151,61.53333333
7.3595,7.7299,11.7352,61.8
9.5575,5.0136,9.4601,61.86666667
9.5946,2.5853,8.8628,63.5
4.5794,1.8545,4.9868,64.9
6.3454,3.6025,7.6497,63.5
4.7355,2.0783,17.0666,77.03333333
3.6768,7.0854,28.2144,78.53333333
5.2182,4.0142,16.5713,77.2
2.6831,6.7886,26.1644,77.13333333
8.0004,18.7234,42.1119,87.6
4.224,15.3521,39.1984,87.76666667
4.3612,13.6067,36.7366,87.06666667
9.0896,17.822,37.419,88.56666667
7.0212,24.8514,50.7643,101.8333333
6.8524,26.0495,52.0248,101.4666667
4.0796,23.9384,50.7707,101.4333333
4.4785,26.1249,52.6193,102.2666667
6.0167,4.7725,17.419,73.23333333
4.2079,7.3598,25.8347,73.86666667
2.4207,3.1391,18.8825,73.13333333
4.6165,9.4091,23.1849,73.76666667
5.9625,15.4555,35.4617,84.5
6.1974,13.8315,33.7977,82.73333333
3.0983,15.0095,37.8921,84.53333333
6.0966,12.2968,37.7522,83.06666667
3.6904,26.0499,53.7281,96.63333333
4.146,24.4575,51.1395,95.93333333
6.3849,26.3182,51.7091,97.46666667
4.1988,25.3803,50.5167,97.93333333
18.7245,33.3693,46.7396,111.9
17.9266,33.3435,51.167,109.4333333
13.3895,32.1842,52.785,109.3
11.2659,33.6138,51.4666,111.5333333
1.9884,19.519,43.3059,77.8
6.718,21.217,45.321,80.3
8.0336,19.703,38.9176,75.9
1.3578,19.4743,42.9833,77.73333333
8.0611,33.2055,52.5672,100.0666667
7.1176,29.7339,50.3418,93.93333333
9.4149,31.6358,49.0361,96.16666667
14.1329,31.5162,47.8039,95.9
24.2869,35.6977,28.8042,124.4333333
27.747,35.3416,39.5921,117.7
23.731,34.2448,39.7296,115.4666667
28.745,35.6691,28.7009,120.0666667
33.5601,33.4251,11.6203,153.3
31.342,29.7892,8.9568,161.1
31.586,35.9138,17.0548,141.1
31.2619,32.1102,14.9133,150.0666667
1.8515,3.1255,18.1047,69.53333333
1.0373,4.3547,19.4373,69.43333333
5.6054,4.6684,16.967,68.7
0.761,5.2852,20.9434,69.86666667
4.953,12.2858,33.4997,82.16666667
0.7033,10.8659,36.4879,83.43333333
1.882,10.8765,31.8956,82.16666667
0.0366,11.2576,35.4686,84.33333333
1.8904,24.805,54.4093,96.26666667
10.3408,25.402,50.6122,96.1
1.3104,23.8321,51.2946,96.56666667
5.5506,27.4025,50.6715,96.8
14.9436,33.445,48.3709,110.5
14.5438,33.7542,48.8391,111.3333333
15.5039,32.7267,51.5226,109.7333333
14.9414,33.7607,49.5555,111.4
4.7139,3.0399,10.5839,62.36666667
6.3669,1.5663,9.7014,63.16666667
7.4617,2.6071,5.9492,63.16666667
7.4944,4.824,9.5128,63.6
6.8266,3.5034,16.0789,75.2
5.7534,3.6387,15.502,74.2
6.3784,5.3036,19.4226,74.2
1.1306,4.0508,18.1735,74.8
9.6551,11.8738,28.7472,86.46666667
4.9815,12.2261,34.148,87.7
10.7053,11.9248,32.538,86.8
0.5328,9.959,32.6271,87.36666667
5.076,18.8988,44.1107,98.33333333
6.337,21.1044,43.1254,99.36666667
3.5546,17.6119,43.4442,98.7
6.1152,20.7305,44.361,100.6
7.3676,4.5833,7.872,61.3
7.4518,6.1055,9.4961,61.73333333
5.828,4.9921,10.6213,61.06666667
9.0569,7.2263,14.3314,61.46666667
3.3359,2.6818,13.3491,73.3
1.2965,3.917,15.0769,74.06666667
2.7149,2.3777,14.9764,72.8
5.7048,2.7502,13.1287,73.4
6.7438,8.611,24.2441,84.5
3.7372,7.7643,27.6556,84.73333333
0.1568,6.2201,24.8994,84.03333333
2.833,6.9455,29.0415,84.63333333
3.1504,17.6028,43.0272,98.36666667
3.1811,14.6785,44.5025,97.03333333
0.6688,14.6659,39.479,96.26666667
3.9448,15.3471,40.9193,97.76666667
