R,G,B,R_I,Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,31,53,1.947,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12,40,1.946,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14,20,1.949,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,36,1.948,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,21,55,1.965,74.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,18,45,1.96,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,18,37,1.966,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,46,1.965,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,49,84,1.969,75.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,44,76,1.969,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,41,76,1.968,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,33,70,1.966,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,64,99,1.942,86.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,57,90,1.941,84.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,58,91,1.944,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,55,91,1.94,85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,40,71,1.977,92.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,36,65,1.978,91.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,42,70,1.979,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,40,71,1.977,90.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,39,77,1.987,105.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,38,74,1.988,104.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,31,64,1.987,105.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,36,72,1.992,104.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,64,94,1.974,104,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,64,94,"1,973",101,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,69,99,1.975,101.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,69,101,1.972,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,69,91,1.966,116.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,85,103,1.959,118.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,79,97,1.962,117.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,75,94,1.96,117.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
