,R,G,B,R_I,target
0,25,31,53,1.947,73.1
1,6,12,40,1.946,73.2
2,9,14,20,1.949,72.5
3,3,7,36,1.948,73.9
4,15,21,55,1.965,74.2
5,12,18,45,1.96,74.0
6,11,18,37,1.966,74.0
7,5,9,46,1.965,74.5
8,36,49,84,1.969,75.8
9,31,44,76,1.969,76.3
10,28,41,76,1.968,76.9
11,19,33,70,1.966,77.2
12,44,64,99,1.942,86.2
13,38,57,90,1.941,84.3
14,39,58,91,1.944,84.8
15,37,55,91,1.94,85.1
16,9,40,71,1.977,92.2
17,8,36,65,1.978,91.3
18,11,42,70,1.979,91.0
19,9,40,71,1.977,90.2
20,7,39,77,1.987,105.4
21,8,38,74,1.988,104.8
22,5,31,64,1.987,105.6
23,6,36,72,1.992,104.1
24,37,64,94,1.974,104.0
25,35,64,94,1.973,101.0
26,40,69,99,1.975,101.7
27,40,69,101,1.972,102.5
28,44,69,91,1.966,116.9
29,62,85,103,1.959,118.2
30,56,79,97,1.962,117.8
31,54,75,94,1.96,117.6
